DMR No,DMR Date,Originator,Status,Site,Hold Reason,Initial Qty,Department,MT #,2nd MT#,RMA,Lot #,Part #,Part Desc,Supplier,Inv Loc,Is MDW,Commodity,Discrepancy Rmk,DMR Ref,First Eval Result,First Eval Date,First SSide Qty,First DSide Qty,First UAI Qty,First Scrap Qty,First Evaluator,Second Eval Result,Second Eval Date,Second SSide Qty,Second DSide Qty,Second UAI Qty,Second Scrap Qty,Second Evaluator,Manager Name,Director Name,Manufacturing,Manufacturing Sup,Process,Materials,Test Engineering,Quality,Scrap Authority (Prod),Scrap Authority (Plant),Finance,IQA,Manufacturing 2,Manufacturing Sup 2,Process 2,Materials 2,Test Engineering 2,Quality 2,Scrap Authority (Prod) 2,Scrap Authority (Plant) 2,Finance 2,IQA 2,Evaluation Step,Total Scrap Cost
W1450321558,3/16/2025 8:49:31 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5400,Production Cell#B,RXBR021372(755pcs)&RXBR021382(190pcs),RXBR021382,R25P44246KRTDRW&R25P44169KRTDRW(80474816&80465837),3150/2250,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),Rosewood DS 100%W/B/W+Flash Test+Burnish Glide(RW14E)(DRW-RMATDDM)DS:204181100(SA'C'BS)Bin25+SST:204181103(BV)+SSB:204181106(BZ)+MDWS/Aperio DS:204181101+SST:204181104/1107,W1455308702W1454580141,After Glide Total Pend MDW FG DS 3852  Test Scrap 190  Flash Rej 755 Total Scrap 945 CB:Wong..Dated:31st Mar,4/3/2025 9:37:09 AM,603,3852,4455,945,Kit Hiong Chan,MDW IN=4455 Total FG DS=3250  SS Bin P125=150 SS Bin P225=150 Total Scrap=905 MDW DS Yield=73% MDW SS Yield=7% CB:PF Dated:31st Mar,4/3/2025 9:38:03 AM,300,3250,3550,302,Kit Hiong Chan,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$5362.10
W1450321577,3/16/2025 8:55:46 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,1800,Production Cell#B,RXBR021352,,R25P44174KRTRTV(80465240),,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),RWDLC DS(Web DMR#W1443928354)Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=1050pcs UAI&Ship+Affected=750pcs go CC sorting Non Affecetd=600pcs UAI &Ship+affected=150pcs go for scrap,3/18/2025 2:54:42 PM,0,1650,1650,150,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$645.00
W1450321593,3/16/2025 9:04:52 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,1960,Production Cell#C,RXBR021352,,R25P44258KRTRTV(80474621),,208956103,Summit DS,,BCONMDW,F,RMA(GL),SMITB DS(Web DMR#W1445584201)Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=945pcs UAI&Ship+Affected=1015pcs go CC sorting Non Affecetd=980pcs UAI &Ship+affected=35pcs go for scrap,3/18/2025 11:16:14 AM,0,1925,1925,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$150.50
W1457671380,4/15/2025 1:37:35 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,840,Production Cell#5,RXBR021422,,R25P44358KRTRTV(80487319),,207624701,V11 DS,,ACONMDW,F,RMA(AL),V11D DS(Web DMR#W1450895584)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected go for scrap+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=350pcs UAI&Ship+Affected=490pcs go CC sorting+Non Affecetd=420pcs UAI &Ship+affected=70pcs go for scrap,4/17/2025 1:47:47 PM,0,770,770,70,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$277.20
W1457671405,4/15/2025 1:41:06 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,210,Production Cell#5,RXBR021422,,R25P44363KRTRTV(80487324),,207624706,V15CP DS,,ACONMDW,F,RMA(AL),V15CP DS(Web DMR#W1450895584)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected go for scrap+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=105pcs UAI&Ship+Affected=105pcs go CC sorting+Non Affecetd=70pcs UAI &Ship+affected=35pcs go for scrap,4/17/2025 1:56:21 PM,0,175,175,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$138.60
W1458968749,4/20/2025 8:31:01 AM,Kit Hiong Chan,Pending Evaluation,Woodlands,Customer Returns,5460,Production Cell#5,RXBR021430/440(690/466)&RXBR021469(242pcs),,R24J43804WXIDRWR24J43833WXIDRWR24J43865WXIDRWR24J43939WXIDRW&R25J43949WXIDRW(8040401780408734),1260/1260/1260/840/840,207624706,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+2nd Flash+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	4304 Flash Reject	690 Test Scrap	466 	2nd Flash AW Flash in	4304 Flash Reject	242 Flash Yield	94% AW MDW	4062 Total Scrap	1398 ,5/13/2025 9:43:24 AM,0,4062,4062,1398,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Pending,Pending,-,-,Pending,-,Pending,-,-,-,HDW & MDW,$5536.08
W1459035855,4/20/2025 1:10:42 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5880,Production Cell#5,RXBR021432(736pcs)&RXBR021446(351pcs),RXBR021483,R25J44092WXIDRWR25J44048WXIDRWR25J44151WXIDRWR25J44312WXIDRW&R25J43978WXIDRW(8045064180442063),1680/1260/840/840/420,207624706,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	4793 Flash Reject	736 Test Scrap	351 Total Scrap	1087 DS Qty=4793pcs	 ,5/20/2025 7:03:32 PM,0,4793,4793,1087,Kit Hiong Chan,AW MDW Qty=4793pcs All go for scrap due to MDW Low Yield,5/20/2025 7:04:12 PM,0,0,0,4793,Kit Hiong Chan,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$23284.80
W1459240508,4/21/2025 8:20:39 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5460,Production Cell#5,RXBR021438/64(344/434)&RXBR021469(121pcs),RXBR021469,R25J44089WXIDRWR24J43809WXIDRWR25J43948WXIDRWR25J44045WXIDRWR25J44136WXIDRWR25J44148WXIDRW,1260/840/420/420/420/420/420/420/420/420,207624701,V11 DS,,ACONMDW,F,RMA(AL),V11 DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	4682 Flash Reject	344 Test Scrap	434 	2nd Flash AW Flash in	4682 Flash Reject	121 Flash Yield	97% AW MDW	4561 Total Scrap	899 ,5/13/2025 9:29:19 AM,0,4561,4561,899,Kit Hiong Chan,AW MDW Qty=4561pcs all go for scrap due to MDW Low yield,5/13/2025 2:24:03 PM,0,0,0,4561,Kit Hiong Chan,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$21621.60
W1450894875,3/18/2025 3:37:00 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,140,Production Cell#5,RXBR021355,,R25J44210WXIRTV(80470532),,207550010,CimarronBP SS,,ACONMDW,F,RMA(AL),CBPSB SS Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for Scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=70pcs UAI&Ship +Affected=70pcs go CC sorting Non Affecetd=35pcs UAI &Ship+affected=35pcs go for Scrap+R:Prime RTV Lot,3/19/2025 4:59:19 PM,105,0,105,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$138.60
W1450894882,3/18/2025 3:43:39 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,840,Production Cell#5,RXBR021355(140pcs)&RXBR021366(35pcs),,R25J44209WXIRTV(80470531),,207541401,CimarronBP DS,,ACONMDW,F,RMA(AL),CBPSW DS Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for Scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=455pcs UAI&Ship +Affected=385pcs go CC sorting Non Affecetd=210pcs UAI &Ship+affected=175pcs go for Scrap,3/24/2025 11:47:18 AM,0,665,665,175,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$693.00
W1450894958,3/18/2025 4:19:28 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,770,Production Cell#C,RFCR117312,,R25P44260KRTNPR(80474623),,205869962,Dorado DS,,BCONMDW,F,RMA(GL),DORBL DS(Web DMR#W1448153368)Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting+Non Affected=315pcs UAI&Ship +Affected=455pcs go CC sorting Non Affecetd=350pcs UAI &Ship+affected=105pcs Charge to MAT70329-Launch,3/19/2025 2:11:35 PM,0,665,665,105,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$451.50
W1450895410,3/18/2025 5:59:57 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,5600,Production Cell#C,RXBR021360,,R25P44236KRTRMA(80470815),,207665203,Longspeak DS,,BCONMDW,F,RMA(GL),Longspeak DS AW CSO Rework Send to WDL-Sub location for storage due to No Demand,,Longspeak DS AW CSO Rework Send to WDL-Sub location for storage due to No Demand Qty=5600pcs,3/18/2025 6:00:39 PM,0,0,0,5600,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$24080.00
W1444808389,2/20/2025 5:45:30 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,448,Production Cell#B,RXBR021321,,Pls refer to DMR Attachment,162/286,204181102,Rosewood SST,,BCONMDW,F,RMA(GL),Rosewood AW MDW SST(RW14E)(FFU-RMATDDM)SST:100841103(SA"C"BV)+MDWS/Aperio SST:204181104+Drive Return Wuxi,W1440373776W1440373757,MDW IN	448 Total FG SS	250 Total Scrap	198 MDW SS Yield	65% ,2/24/2025 6:02:52 PM,250,0,250,198,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$851.40
W1460588251,4/26/2025 8:27:04 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,280,Production Cell#5,RXBR021431,,R25J44415WXIRTV&R25J44410WXIRTV(80497335&80497506),210/70,207624202,V15CP DS,,ACONMDW,F,RMA(AL),V15CP DS Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected go for scrap+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=140pcs UAI&Ship+Affected=140pcs go CC sorting+Non Affecetd=105pcs UAI &Ship+affected=35pcs go for scrap,4/26/2025 4:41:47 PM,0,245,245,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$138.60
W1460588309,4/26/2025 8:37:56 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,3640,Production Cell#5,N/A,,R25J44414WXIRTV(80497335),,207624201,V15CM DS,,ACONMDW,F,RMA(AL),V15CM DS(Web DMR#W1450894883)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected  on Hold for Arnel+Remarks:Prime RTV Lot,W1461533667,After Cassette Level Sorting Non Affected=1330pcs UAI&Ship+Affected=2310pcs go CC sorting Non Affecetd=1785pcs UAI &Ship+affected=525pcs on Hold for Arnel,4/27/2025 5:51:09 PM,0,3640,3640,0,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$0.00
W1460588492,4/26/2025 9:07:41 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,1820,Production Cell#5,RXBR021440,,R25J44417WXIRTV(80497335),,207624206,V15CP SS,,ACONMDW,F,RMA(AL),V15CP SS(Web DMR#W1450894883)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected  on Hold for Arnel+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=840pcs UAI&Ship+Affected=980pcs go CC sorting Non Affecetd=770pcs UAI &Ship+affected=210pcs go for scrap,4/29/2025 6:59:35 PM,1610,0,1610,210,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$831.60
W1460593962,4/26/2025 9:13:07 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,350,Production Cell#5,N/A,,R25J44416WXIRTV(80497335),,207624203,V11 DS,,ACONMDW,F,RMA(AL),V11D DS(Web DMR#W1450894883)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected  on Hold for Arnel+Remarks:Prime RTV Lot,W1461533667,After Cassette Level Sorting Non Affected=105pcs UAI&Ship+Affected=245pcs go CC sorting Non Affecetd=70pcs UAI &Ship+affected=175pcs on Hold for Arnel,4/27/2025 5:25:58 PM,0,350,350,0,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$0.00
